,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.,weight
doctors,0,"[0, 1]",0.12586588756420528,0.12586588756420528,0.11066396494038924,9717,3638,0.7275926619243729,0.8607989528258662
utilitarian,1,"[0, 1]",0.21653079496724942,0.21653079496724942,0.18690919372319872,17302,5673,0.7530794341675735,0.8791411020908951
utilitarian_anthro,2,"[0, 1]",0.3664106309787475,0.3664106309787475,0.31178549549974083,29944,8934,0.770204228612583,0.8472338244111852
action,3,[1],1.0,0.9937043494651524,0.8159464681212008,57440,48665,0.5413505489844965,0.542164472604149
pedestrians,4,"[0, 1]",0.5491541397672117,0.5491541397672117,0.529287027001555,30802,27466,0.5286263472231757,0.6048067933774713
females,5,"[0, 1]",0.5209179586258894,0.5209179586258894,0.43351397200885916,37583,17689,0.6799645390070922,0.721184388591768
fitness,6,"[0, 1]",0.3234437585410678,0.3234437585410678,0.2775458272465954,18543,15776,0.5403129461814156,0.5765836058279222
status,7,"[0, 1]",0.17820083879176288,0.17820083879176288,0.1516139672965459,12741,6167,0.6738417601015443,0.7925748543928571
legal,8,"[0, 1]",0.7866264549267236,0.7866264549267236,0.7000424108194713,46718,36747,0.5597316240340262,0.5873120665468858
illegal,9,"[0, 1]",0.5491541397672117,0.5491541397672117,0.529287027001555,28947,29321,0.4967906912885289,0.5872490087153593
youth,10,"[0, 1]",0.2768107063757599,0.2768107063757599,0.2292728900617313,22759,6612,0.774879983657349,0.7307555101616411
criminals,11,"[0, 1]",0.005456858771971161,0.005456858771971161,0.005051599830356722,425,154,0.7340241796200345,0.8129118642458224
homeless,12,"[0, 1]",0.09009942981009378,0.09009942981009378,0.07150464162857546,6025,3535,0.6302301255230125,0.6376413638622501
pets,13,"[0, 1]",0.1617925639696527,0.1617925639696527,0.13498892606380472,13620,3547,0.793382652764024,0.916084915419609
spare_strollers,14,"[0, 1]",0.05814052118184817,0.05814052118184817,0.050506573677018045,4745,1424,0.7691684227589561,0.9535606322173655
spare_pregnant,15,"[0, 1]",0.06838509024079921,0.06838509024079921,0.0608171151218133,5404,1852,0.7447629547960308,0.9029515841358768
