,Older,Younger,Drink more,Drink less,Unhealthy,Healthy
0,0,5,0,4,0,3
1,0,5,0,0,0,0
2,0,5,0,0,0,4
3,0,5,0,3,0,4
4,0,4,0,5,0,3
5,0,0,0,0,0,0
6,0,3,0,5,0,4
7,0,3,0,3,0,3
8,0,4,0,5,0,0
9,0,5,0,0,0,0
10,0,4,0,5,0,3
11,0,5,0,4,0,3
12,0,5,0,0,4,0
13,0,5,0,4,0,0
14,0,5,0,4,0,3
15,0,3,0,3,0,3
16,0,5,0,4,0,3
17,0,5,0,3,0,4
18,0,5,0,0,0,0
19,0,4,0,5,0,3
20,0,5,0,0,0,4
21,0,5,0,4,0,3
22,0,0,0,0,5,0
23,0,5,0,0,0,4
24,0,5,0,4,0,0
25,0,5,0,4,0,0
26,5,0,0,4,0,0
27,0,5,0,4,0,3
28,0,5,0,4,0,3
29,0,5,0,0,0,4
30,0,5,0,4,0,0
31,0,4,0,0,0,4
32,0,3,0,5,0,4
33,0,5,0,4,0,3
34,0,5,0,4,0,3
35,0,5,0,0,0,4
36,0,0,0,0,0,0
37,0,5,0,4,0,0
38,0,5,0,4,0,3
39,0,5,0,0,0,4
40,0,4,0,5,0,0
41,0,5,0,4,3,0
42,0,5,0,0,0,4
43,0,5,0,4,0,0
44,0,5,0,0,0,0
45,0,5,0,0,0,0
46,0,5,0,0,0,0
47,0,0,0,5,0,0
48,0,0,0,0,0,0
49,0,5,0,3,0,4
50,0,3,0,3,0,3
51,0,5,0,4,0,3
52,0,3,0,3,0,3
53,0,5,0,4,0,0
54,0,3,0,3,0,3
55,0,4,0,4,0,3
56,0,5,0,0,0,0
57,0,4,0,0,0,5
58,0,5,0,4,0,0
59,0,5,0,4,0,3
60,0,5,0,3,0,4
61,0,5,0,4,0,3
62,0,5,0,0,0,0
63,0,4,0,5,0,0
64,0,5,0,4,0,0
65,0,0,0,5,0,4
66,0,4,0,5,0,0
67,0,5,0,0,0,4
68,4,0,0,0,4,0
69,0,5,0,4,3,0
70,0,0,0,0,0,0
71,0,3,0,3,0,3
72,0,5,0,3,0,3
73,0,5,0,3,0,4
74,0,5,0,3,0,3
75,0,0,0,4,0,4
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,5,0,4,0,0
79,4,0,4,0,3,0
80,0,4,0,5,0,3
81,0,4,0,0,0,4
82,3,0,0,3,3,0
83,0,5,0,4,0,3
