,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
doctors,0,"[0, 1]",0.12586588756420528,0.12586588756420528,0.11097497761651194,9717,3638,0.7275926619243729
utilitarian,1,"[0, 1]",0.21653079496724942,0.21653079496724942,0.19506149568823336,17302,5673,0.7530794341675735
utilitarian_anthro,2,"[0, 1]",0.3664106309787475,0.3664106309787475,0.32666698082088497,29944,8934,0.770204228612583
inaction,3,[0],1.0,0.9937043494651524,0.8536920974506386,48665,57440,0.45864945101550353
pedestrians,4,"[0, 1]",0.5491541397672117,0.5491541397672117,0.5491541397672117,30802,27466,0.5286263472231757
females,5,"[0, 1]",0.5209179586258894,0.5209179586258894,0.4525234437585411,37583,17689,0.6799645390070922
fitness,6,"[0, 1]",0.3234437585410678,0.3234437585410678,0.2880637104754724,18543,15776,0.5403129461814156
status,7,"[0, 1]",0.17820083879176288,0.17820083879176288,0.15682578577823852,12741,6167,0.6738417601015443
legal,8,"[0, 1]",0.7866264549267236,0.7866264549267236,0.7433297205598228,46718,36747,0.5597316240340262
illegal,9,"[0, 1]",0.5491541397672117,0.5491541397672117,0.5491541397672117,28947,29321,0.4967906912885289
youth,10,"[0, 1]",0.2768107063757599,0.2768107063757599,0.2411761933933368,22759,6612,0.774879983657349
criminals,11,"[0, 1]",0.005456858771971161,0.005456858771971161,0.005211818481692663,425,154,0.7340241796200345
homeless,12,"[0, 1]",0.09009942981009378,0.09009942981009378,0.0763112011686537,6025,3535,0.6302301255230125
pets,13,"[0, 1]",0.1617925639696527,0.1617925639696527,0.14205739597568445,13620,3547,0.793382652764024
spare_strollers,14,"[0, 1]",0.05814052118184817,0.05814052118184817,0.05251401913199189,4745,1424,0.7691684227589561
spare_pregnant,15,"[0, 1]",0.06838509024079921,0.06838509024079921,0.06038358230055134,5404,1852,0.7447629547960308
