,heuristic,value_added
0,doctors,0.0004429574478110876
1,utilitarian,0.0014513924885726226
2,utilitarian_anthro,0.02495641110221003
3,action,0.007520851986239974
4,pedestrians,-0.004721737901135725
5,females,0.01270439658828515
6,fitness,-0.0016116111399085975
7,status,-0.001046133546958261
8,legal,-0.007190990057018953
9,illegal,-0.005381461759577766
10,youth,0.026794213279298762
11,criminals,-0.002337307384194909
12,homeless,-0.000810517883228945
13,pets,0.00021676641063095303
14,spare_strollers,4.71231327457966e-05
15,spare_pregnant,-0.001639885019556142
